Date,Close/Last,Volume,Open,High,Low
02/10/2023,4099.75,1698239,4098,4104.25,4060.75
02/09/2023,4091.75,1777929,4132.25,4170.25,4078.25
02/08/2023,4130.5,1736222,4167.25,4179.25,4121.25
02/07/2023,4175.75,2124506,4123.5,4188.25,4098.25
02/06/2023,4123.5,1516784,4134.25,4143,4104
02/03/2023,4147.75,2263572,4176,4194,4132.5
02/02/2023,4191.5,2220174,4145.5,4208.5,4136.75
02/01/2023,4132.25,1940056,4085.75,4163.25,4048.5
01/31/2023,4090,1706045,4039.25,4091.25,4007.5
01/30/2023,4032.5,1730636,4077,4086,4029.5
01/27/2023,4084.25,1526977,4065,4109.25,4057.25
01/26/2023,4075.5,1564498,4031,4077,4027.25
01/25/2023,4032,1704088,4039,4040.5,3963.25
01/24/2023,4032.75,1432233,4036.5,4047.5,4005.25
01/23/2023,4036.5,1532130,3987,4056.75,3980.25
01/20/2023,3988.5,1529244,3925,3990.5,3911.75
01/19/2023,3915.5,1836136,3945.25,3948.75,3901.75
01/18/2023,3945.75,1837347,4008.5,4033.5,3943.75
01/17/2023,4009.5,1376060,4020,4035.25,3996.75
01/13/2023,4018.25,1411420,4003,4024.25,3961.75
01/12/2023,4003.5,2044471,3991.75,4021.5,3954
01/11/2023,3990,1334109,3941,3992.5,3934.5
01/10/2023,3940.75,1477906,3914.5,3943.75,3891.5
01/09/2023,3913.75,1649040,3918.5,3973.25,3909.75
01/06/2023,3915.5,1938253,3833,3928.75,3819
01/05/2023,3829,1636427,3871,3885.5,3822.5
01/04/2023,3874.5,1859292,3842.75,3896.25,3836.5
01/03/2023,3846,1715949,3895,3906.75,3814.5
12/30/2022,3861,1297265,3869.75,3871,3821.5
12/29/2022,3871.75,1089698,3811,3882.75,3806.25
12/28/2022,3807.5,1204276,3858,3875,3804.5
12/27/2022,3855,975375,3878,3900.5,3837.25
12/23/2022,3869.75,1332677,3850,3872.5,3821.25
12/22/2022,3849.25,1753646,3915,3919.75,3788.5
12/21/2022,3905.75,1465991,3857.25,3918.75,3855.5
12/20/2022,3849.25,1464361,3842.75,3866.5,3803.5
12/19/2022,3845.5,1328539,3874,3899,3827.25
12/16/2022,3879,1847442,3920,3934.5,3855.25
12/15/2022,3927.25,2168729,4037,4043,3908
12/14/2022,4030.75,1887172,4054.5,4090.75,3997
12/13/2022,4022.25,1347293,3989.25,4145,3985
12/12/2022,3991.75,1553055,3933,3992.75,3924.5
12/09/2022,3936.25,1667155,3964.75,3990,3930
12/08/2022,3965.75,1661660,3935.75,3977.25,3916
12/07/2022,3936.75,1710759,3944.5,3961.5,3914
12/06/2022,3945,1799147,4005.75,4014.75,3921.5
12/05/2022,4003.25,1435183,4074,4075.75,3987.25
12/02/2022,4075.5,1783975,4077.5,4085.5,4006.75
12/01/2022,4081.75,1777674,4094.5,4110,4054.5
11/30/2022,4081.25,2363044,3962.25,4093.5,3942.75
11/29/2022,3962,1447936,3972,3990.25,3941.25
11/28/2022,3970.25,1427798,4020.25,4024,3960.25
11/25/2022,4032.5,564882,4038.75,4049.25,4024.75
11/23/2022,4033,1239146,4010,4039.5,4002
11/22/2022,4010.25,1112441,3957.75,4012.5,3945.25
11/21/2022,3958,1137838,3972.5,3982,3937.5
11/18/2022,3974,1473728,3960.5,3994,3942.5
11/17/2022,3955.25,1518140,3977.25,3990.25,3912.5
11/16/2022,3968.5,1448170,3992,4015.75,3962
11/15/2022,3999.5,2167599,3974.75,4050.75,3960
11/14/2022,3966,1521906,3984,4017.5,3964
11/11/2022,4000.25,1847026,3973,4009.75,3951
11/10/2022,3961,2306229,3757,3973.5,3751.5
11/09/2022,3755.5,1829584,3832.5,3848.75,3750
11/08/2022,3835.25,1813860,3812.75,3867,3792.75
11/07/2022,3815.25,1445704,3750,3821.75,3738.25
11/04/2022,3779.5,2428954,3724,3805.5,3711
11/03/2022,3727.75,1826073,3766.75,3782.5,3704.25
11/02/2022,3768.75,2132496,3863,3907,3760.25
11/01/2022,3866,1832111,3884,3928,3852.5
10/31/2022,3883,1886873,3911.5,3914.75,3872.25
10/28/2022,3911.25,1995211,3798.25,3924.25,3776.75
10/27/2022,3819.5,2145592,3844.25,3870.75,3757.5
10/26/2022,3841,2030789,3841,3897.5,3824.25
10/25/2022,3870.25,1791764,3803.25,3874.25,3790
10/24/2022,3809.25,2053031,3771,3822,3736.5
10/21/2022,3764,2589771,3677.75,3773.25,3641.5
10/20/2022,3675.25,2344701,3708,3748,3666.25
10/19/2022,3707.25,2299463,3759.75,3774.25,3676.75
10/18/2022,3732.75,2699690,3706.25,3777.25,3697.25
10/17/2022,3689.25,1885475,3591,3702.5,3590.5
10/14/2022,3597.5,2653130,3680.25,3733.75,3591.25
10/13/2022,3681.75,3200784,3596.25,3697.75,3502
10/12/2022,3588.5,1901513,3607,3635.25,3585.5
10/11/2022,3599.25,2348941,3624.75,3653.25,3579
10/10/2022,3625.25,1988884,3638.75,3667.5,3600
10/07/2022,3653.25,2152520,3745.75,3770.5,3632.5
10/06/2022,3756.75,2105364,3795.75,3819.5,3750
10/05/2022,3794,2031801,3801,3820,3734
10/04/2022,3803.25,2307659,3696.5,3808.75,3686.25
10/03/2022,3690.25,2259001,3593.25,3711.75,3571.75
09/30/2022,3601.5,2828273,3656.5,3693.75,3595.25
09/29/2022,3654.25,2802168,3730.25,3736,3622
09/28/2022,3732,2691250,3668.5,3751.25,3613
09/27/2022,3661,2899295,3668,3733,3635.25
09/26/2022,3670,2830933,3705.25,3730.5,3657.5
09/23/2022,3709,2816235,3777.25,3783.25,3660.25
09/22/2022,3772,2537096,3794,3833,3763.5
09/21/2022,3806.25,2365680,3878.75,3925.25,3792
09/20/2022,3872.75,2285181,3923,3936.25,3843.25
09/19/2022,3917.25,2046865,3889.5,3927,3846.25
09/16/2022,3890,2611885,3904,3905,3853
09/15/2022,3919.25,2481051,3972,3963.5,3905
09/14/2022,3965.5,2469553,3956.75,3981.25,3929
09/13/2022,3931.25,1366551,4118.25,4158,3919.75
09/12/2022,4110.75,1677170,4077.25,4119.75,4062.25
09/09/2022,4067.25,1618863,4010.25,4077.25,4005.75
09/08/2022,4005.5,2298241,3980,4011.5,3942.75
09/07/2022,3980,1896910,3907.5,3988.75,3883.5
09/06/2022,3910.5,2294895,3929,3963.25,3886.75
09/02/2022,3924.5,2439403,3967.5,4019.25,3906
09/01/2022,3968.75,2155772,3958,3971.25,3903.5
08/31/2022,3956.5,2279101,3987.25,4018.25,3953
08/30/2022,3987.5,2499358,4035.75,4072.75,3964.5
08/29/2022,4031.25,1908217,4024,4064,4006.75
08/26/2022,4059.5,2143578,4198.25,4217.25,4042.75
08/25/2022,4201,1574706,4148.75,4202.75,4143
08/24/2022,4142.75,1299179,4128.25,4158.5,4110.75
08/23/2022,4130.5,1549831,4147,4161.75,4118
08/22/2022,4141.25,1668848,4221,4221.5,4131.5
08/19/2022,4231.5,1630365,4287,4288,4220.75
08/18/2022,4286.5,1321056,4279.5,4295.5,4258
08/17/2022,4276.75,1588532,4309.25,4315,4255
08/16/2022,4307.75,1322087,4294.5,4327.5,4278.75
08/15/2022,4298.25,1279387,4277,4304.75,4249
08/12/2022,4281,1227330,4219.25,4282.75,4208.25
08/11/2022,4209.75,1556044,4210.75,4260.5,4202.75
08/10/2022,4210,1553613,4128.75,4213.5,4113.75
08/09/2022,4124.5,1242523,4148.5,4155,4113
08/08/2022,4141.75,1490087,4149.75,4188,4129.25
08/05/2022,4146.75,1665589,4152,4166.25,4103.75
08/04/2022,4152.25,1197635,4150.25,4173.25,4136
08/03/2022,4156.25,1632015,4097,4170,4084.5
08/02/2022,4093.75,1849433,4119.75,4143,4080.5
08/01/2022,4120.5,1715383,4137.5,4147.25,4097
07/29/2022,4133.5,1820578,4105,4144,4081
07/28/2022,4073.5,1956645,4022,4111,3994.5
07/27/2022,4024.5,1672372,3939.25,4042.75,3938.75
07/26/2022,3923.25,1544616,3959,3964.5,3913.25
07/25/2022,3970,1459047,3967.75,3988.75,3946
07/22/2022,3965,1688708,3988,4016.25,3941.5
07/21/2022,4001.25,1775713,3954,4004.75,3930.25
07/20/2022,3962.5,1685650,3947,3977.25,3922.25
07/19/2022,3937.5,1544260,3838.5,3948,3834
07/18/2022,3833.75,1385487,3878.5,3909.5,3820.25
07/15/2022,3865,1438984,3797.75,3868.25,3780.25
07/14/2022,3793.25,1841185,3795.75,3806.25,3723.75
07/13/2022,3804.5,2102326,3825,3873,3752
07/12/2022,3823.75,1606521,3862,3876.5,3804.75
07/11/2022,3856.75,1447565,3900,3900.75,3850
07/08/2022,3901.25,1431951,3897,3922,3868
07/07/2022,3905,1272942,3853.75,3914.25,3832.5
07/06/2022,3848.25,1642498,3838,3875,3808.75
07/05/2022,3834,1962829,3828.5,3857.75,3744
07/01/2022,3827.25,1676149,3782,3833.5,3744.5
06/30/2022,3789.5,2286927,3822.75,3825,3741.25
06/29/2022,3821.25,1682721,3828.25,3840,3801.25
06/28/2022,3825.5,1730030,3911.25,3950,3821.75
06/27/2022,3903.75,1447178,3915,3948,3892.5
06/24/2022,3916.25,1476644,3785.25,3919.75,3781.25
06/23/2022,3799.75,1572600,3761.25,3805.75,3735
06/22/2022,3762.75,1611415,3766.25,3805.5,3693.25
06/21/2022,3767.75,1509673,3684,3783.75,3661.5
06/17/2022,3675.75,2083862,3680.5,3713.5,3639
06/16/2022,3671.25,2412666,3799,3833.25,3642
06/15/2022,3793.5,2200220,3743.5,3843,3723.5
06/14/2022,3736.75,1295987,3758.25,3805,3705.25
06/13/2022,3750.5,2059954,3870.75,3876.5,3732.5
06/10/2022,3899,1994112,4025.25,4029.5,3895.25
06/09/2022,4016.25,1972157,4116,4144.25,4014.75
06/08/2022,4114,1664139,4150.75,4160,4105.25
06/07/2022,4158.75,1642599,4122,4164,4076
06/06/2022,4120.5,1421074,4110.5,4168.25,4104.5
06/03/2022,4107,1482581,4177.75,4189,4096.75
06/02/2022,4175.25,1477402,4097.75,4179,4072.25
06/01/2022,4099,1853598,4138.5,4165,4071.5
05/31/2022,4131.25,2146942,4164.5,4202.25,4102.75
05/27/2022,4155.75,1483524,4047.5,4168.25,4041.25
05/26/2022,4055.75,1425634,3972.25,4073.5,3960.5
05/25/2022,3976.75,1693702,3950,3997.75,3913.5
05/24/2022,3940.5,1974832,3951.75,3954.5,3872
05/23/2022,3971.75,1696085,3910.5,3982.25,3906.5
05/20/2022,3899.5,2315956,3900.5,3949.5,3807.5
05/19/2022,3897.75,2271796,3916.5,3943.5,3856
05/18/2022,3922.75,2106856,4091.25,4095,3905.5
05/17/2022,4084.75,1665190,4002,4091.5,4000.5
05/16/2022,4004.75,1645516,4025,4043.5,3979.5
05/13/2022,4019.75,1791495,3916.25,4036,3915.5
05/12/2022,3927.25,2326518,3939.75,3961.75,3855
05/11/2022,3930.25,2105428,3990.5,4050.5,3923.75
05/10/2022,3996.75,2198850,3993.25,4065.5,3953
05/09/2022,3987.5,2063724,4087.25,4099,3970
05/06/2022,4119.5,2224628,4146.5,4153.25,4062
05/05/2022,4143.25,2321038,4289.75,4300.75,4099.25
05/04/2022,4295.25,1720171,4171.25,4303,4142.75
05/03/2022,4169.25,1633153,4145.5,4195.75,4129
05/02/2022,4151,2262204,4144,4165.75,4056
04/29/2022,4127.5,2026218,4244,4279.75,4118.75
04/28/2022,4283.5,1747081,4213,4303.5,4182.5
04/27/2022,4180.25,1981698,4149.5,4236.25,4149
04/26/2022,4170.5,1956378,4294,4303.5,4136.75
04/25/2022,4292.75,2227573,4259,4296.5,4195.25
04/22/2022,4267.25,1957198,4385.75,4393.25,4247.5
04/21/2022,4390.5,1653367,4468,4509,4380
04/20/2022,4455.5,1391211,4441,4484.25,4432.75
04/19/2022,4459.25,1428795,4399,4467,4371.75
04/18/2022,4386.75,1122220,4390,4406.25,4355.5
04/14/2022,4387.5,1326331,4438.5,4455.75,4385
04/13/2022,4442.25,1211661,4396.75,4449.5,4384
04/12/2022,4393,1710834,4411,4466.75,4375.5
04/11/2022,4409,1383192,4488.75,4491.25,4403.5
04/08/2022,4483.5,1295277,4494.75,4519.75,4468.75
04/07/2022,4496.25,1416525,4471.25,4517.25,4444.5
04/06/2022,4475.75,1730492,4526.25,4528.75,4444.5
04/05/2022,4520.25,1270722,4576.25,4588.75,4507.75
04/04/2022,4577.75,988739,4538.25,4580,4527.75
04/01/2022,4539.25,1378529,4541,4555.5,4501.25
03/31/2022,4530.75,1522526,4599,4614.25,4526.25
03/30/2022,4596,1150782,4621.25,4627.5,4574.75
03/29/2022,4625.5,1314117,4570.25,4631,4565.25
03/28/2022,4568,1141800,4535.25,4572.25,4509.75
03/25/2022,4536.5,1194489,4516.25,4539,4493.25
03/24/2022,4512.5,1184217,4449.25,4517.5,4445.75
03/23/2022,4447.5,1254542,4504,4514,4444.75
03/22/2022,4505,1172386,4456.75,4514.75,4433
03/21/2022,4452.25,1323485,4460,4473,4415
03/18/2022,4453.5,1319068,4384.25,4465.75,4364.5
03/17/2022,4402,1392659,4361,4406.75,4320.25
03/16/2022,4349.5,1951637,4249.75,4367.5,4239
03/15/2022,4262,1023600,4180.25,4271.5,4138
03/14/2022,4172,1389362,4216,4254.5,4160.75
03/11/2022,4201.5,1588516,4258.5,4335.5,4198
03/10/2022,4257.25,1704290,4279,4282.25,4207
03/09/2022,4275.25,1595555,4153,4298.25,4152
03/08/2022,4168.75,2292546,4186.5,4275,4138.75
03/07/2022,4198.5,1831575,4308.75,4325.25,4185.25
03/04/2022,4327.25,1778744,4366.5,4374.5,4281.25
03/03/2022,4359.25,1516287,4373.75,4418.75,4341
03/02/2022,4381.75,1656846,4308.75,4399.25,4278.25
03/01/2022,4303.75,1807846,4367.5,4399,4275
02/28/2022,4368,2095418,4299.5,4385.5,4251.5
02/25/2022,4380,1886455,4266.75,4384.25,4227.5
02/24/2022,4284,2846611,4215.5,4290,4101.75
02/23/2022,4222,1838059,4310.75,4345.5,4212.5
02/22/2022,4300,2524302,4324.25,4391.25,4250
02/18/2022,4343.5,1741865,4374.75,4411.5,4321
02/17/2022,4374.5,1579717,4464.25,4474.75,4367.25
02/16/2022,4470,1376779,4458.75,4484.5,4422.75
02/15/2022,4464.5,1486394,4393.5,4468,4381.75
02/14/2022,4394,2053340,4411.75,4428,4354
02/11/2022,4409.5,2406446,4494.5,4520.5,4393.25
02/10/2022,4497.5,2329535,4582.25,4583.75,4476
02/09/2022,4577.75,1322643,4519,4585,4517.25
02/08/2022,4512.5,1421182,4484,4523.75,4456.25
02/07/2022,4475.75,1422337,4497,4514.5,4462.75
02/04/2022,4492.5,1884479,4518,4532.5,4438.5
02/03/2022,4469,1752662,4545.75,4548.25,4462
